Alice Johnson alice@example.com alicepass 2
Checking 1000
Savings 5000
Alice Johnson alice@example.com alicepass 4
Checking 1000
Savings 5000
Checking 1000
Savings 5000
Alice Johnson alice@example.com alicepass 6
Checking 1000
Savings 5000
Checking 1000
Savings 5000
Checking 1000
Savings 5000
Alice Johnson alice@example.com alicepass 2
Checking 1000
Savings 5000
Alice Johnson alice@example.com alicepass 4
Checking 1000
Savings 5000
Checking 1000
Savings 5000
Alice Johnson alice@example.com alicepass 6
Checking 1000
Savings 5000
Checking 1000
Savings 5000
Checking 1000
Savings 5000
Alice Johnson alice@example.com alicepass 2
Checking 1000
Savings 5000
